Date,Open,High,Low,Close,Adj Close,Volume
2012-01-01,14.621428,15.098214,14.607142,15.085714,13.036158,1151805200
2012-01-08,15.196428,15.276786,14.952143,14.993215,12.956224,1305914400
2012-01-15,15.150000,15.406072,14.991072,15.010715,12.971346,1195401200
2012-01-22,15.095357,16.230356,14.983929,15.974286,13.804007,2435708800
2012-01-29,15.918214,16.428572,15.906786,16.417143,14.186698,1514466800
2012-02-05,16.370714,17.772142,16.364286,17.622143,15.227983,2489043200
2012-02-12,17.840357,18.796072,17.379642,17.932858,15.496483,3964091600
2012-02-19,18.102858,18.674999,18.004286,18.657499,16.122677,2071997200
2012-02-26,18.618214,19.578928,18.438572,19.470715,16.825407,3214962800
2012-03-04,19.479286,19.562143,18.436428,19.470358,16.825098,3353260400
2012-03-11,19.606428,21.428928,19.535715,20.913214,18.071930,4502187200
2012-03-18,21.370358,21.773214,21.037500,21.287500,18.395357,3416299600
2012-03-25,21.421072,22.194643,21.259285,21.412500,18.503378,3197608400
2012-04-01,21.493929,22.666430,21.442142,22.631428,19.556702,2647190000
2012-04-08,22.361786,23.000000,21.553928,21.615356,18.678675,3657858400
2012-04-15,21.787857,22.151785,20.372143,20.463572,17.683372,4896550400
2012-04-22,20.378929,22.071428,19.821428,21.535715,18.609858,3891246800
2012-04-29,21.350000,21.371429,20.184643,20.187500,17.444811,2465075200
2012-05-06,20.053572,20.567142,19.954643,20.239643,17.489868,2170820400
2012-05-13,20.091785,20.268215,18.649286,18.942142,16.368652,2839370800
2012-05-20,19.089285,20.589285,19.073214,20.081785,17.353456,2735611200
2012-05-27,20.389286,20.767857,20.018572,20.035357,17.313335,1922600400
2012-06-03,20.053572,20.735001,19.589285,20.725714,17.909903,2073948800
2012-06-10,20.990000,21.017857,20.239286,20.504642,17.718866,2001053600
2012-06-17,20.391428,21.071428,20.370358,20.789286,17.964838,1771582400
2012-06-24,20.617857,20.857143,20.200357,20.857143,18.023472,1488253200
2012-07-01,20.883215,21.940714,20.842857,21.638571,18.698736,1545118400
2012-07-08,21.617857,22.138214,21.167143,21.606071,18.670649,2100154000
2012-07-15,21.611429,21.976786,21.541071,21.582144,18.649982,1681918000
2012-07-22,21.228571,21.774286,20.357143,20.898571,18.059282,2740990000
2012-07-29,21.104286,22.070715,20.993572,21.989286,19.001802,1903050800
2012-08-05,22.046072,22.321428,21.973572,22.203571,19.186975,1253837200
2012-08-12,22.263929,23.149643,22.258928,23.146786,20.087921,1573639200
2012-08-19,23.214643,24.102858,23.146786,23.686428,20.556250,2848896400
2012-08-26,24.285357,24.316786,23.473215,23.758572,20.618853,1538252800
2012-09-02,23.777143,24.374287,23.732143,24.301428,21.089975,1425130000
2012-09-09,24.301786,24.892143,23.428572,24.688572,21.425959,2903048400
2012-09-16,24.976786,25.181072,24.772142,25.003214,21.699020,2006566800
2012-09-23,24.530714,24.825714,23.583929,23.825001,20.676510,2864260000
2012-09-30,23.969999,24.169643,23.237499,23.306786,20.226774,2560600000
2012-10-07,23.102858,23.127142,22.269644,22.489643,19.517622,2993043200
2012-10-14,22.583929,23.313929,21.772142,21.780001,18.901760,2592021600
2012-10-21,21.872143,22.692142,21.107143,21.571428,18.720743,3487162000
